IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,9.709687,105.46
8192,8.003380,127.95
16384,2.211298,463.08
32768,1.297622,789.14
65536,0.820491,1248.03
131072,0.575101,1780.56
262144,0.576368,1776.64
524288,0.598692,1710.40
1048576,0.576630,1775.84
2097152,0.564116,1815.23
4194304,0.585904,1747.73
8388608,0.576720,1775.56
16777216,0.608733,1682.18
33554432,0.622135,1645.95
67108864,0.626383,1634.78
100663296,0.609918,1573.98
