IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,11.081974,92.40
8192,7.413955,138.12
16384,3.928297,260.67
32768,2.320203,441.34
65536,1.371928,746.39
131072,0.625213,1637.84
262144,0.404889,2529.09
524288,0.298399,3431.65
1048576,0.297408,3443.08
2097152,0.285028,3592.63
4194304,0.300885,3403.29
8388608,0.361230,2834.76
16777216,0.518670,1974.28
33554432,0.514473,1990.39
67108864,0.531641,1926.11
100663296,0.460068,2086.65
