IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,6.624449,154.58
8192,3.753929,272.78
16384,1.823503,561.56
32768,1.067175,959.54
65536,0.682053,1501.35
131072,0.500564,2045.69
262144,0.490351,2088.30
524288,0.483118,2119.56
1048576,0.520680,1966.66
2097152,0.479758,2134.41
4194304,0.503164,2035.12
8388608,0.508192,2014.99
16777216,0.512748,1997.08
33554432,0.515909,1984.85
67108864,0.517936,1977.08
100663296,0.485283,1978.23
