IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,7.508781,136.37
4096,8192,12.555813,81.56
4096,16384,15.724055,65.12
4096,32768,18.427815,55.57
4096,65536,25.121587,40.76
4096,131072,7.245215,141.33
4096,262144,6.652523,153.93
4096,524288,5.921308,172.93
4096,1048576,5.781721,177.11
4096,2097152,5.767194,177.56
4096,4194304,5.853157,174.95
4096,8388608,5.743821,178.28
4096,16777216,5.731322,178.67
4096,33554432,5.908614,173.31
4096,67108864,5.815555,176.08
4096,100663296,5.774368,177.34
16384,4096,1.784066,573.97
16384,8192,1.435972,713.11
16384,16384,1.454969,703.80
16384,32768,1.477272,693.17
16384,65536,1.458632,702.03
16384,131072,1.426459,717.86
16384,262144,1.433071,714.55
16384,524288,1.509921,678.18
16384,1048576,1.418412,721.93
16384,2097152,1.404249,729.22
16384,4194304,1.408597,726.96
16384,8388608,1.427277,717.45
16384,16777216,1.406583,728.01
16384,33554432,1.460474,701.14
16384,67108864,1.427767,717.20
16384,100663296,1.416493,722.91
65536,4096,0.941003,1088.20
65536,8192,0.455456,2248.30
65536,16384,0.467067,2192.40
65536,32768,0.468753,2184.52
65536,65536,0.465689,2198.89
65536,131072,0.466760,2193.85
65536,262144,0.465378,2200.36
65536,524288,0.469860,2179.37
65536,1048576,0.481397,2127.14
65536,2097152,0.468128,2187.44
65536,4194304,0.456305,2244.11
65536,8388608,0.449944,2275.84
65536,16777216,0.426688,2399.88
65536,33554432,0.429619,2383.51
65536,67108864,0.430034,2381.21
65536,100663296,0.428021,2392.41
262144,4096,0.458843,2231.70
262144,8192,0.308477,3319.53
262144,16384,0.274123,3735.55
262144,32768,0.366834,2791.45
262144,65536,0.257721,3973.29
262144,131072,0.261966,3908.90
262144,262144,0.268494,3813.87
262144,524288,0.273273,3747.17
262144,1048576,0.275575,3715.87
262144,2097152,0.272824,3753.34
262144,4194304,0.274533,3729.97
262144,8388608,0.274476,3730.75
262144,16777216,0.258093,3967.56
262144,33554432,0.242799,4217.48
262144,67108864,0.237771,4306.66
262144,100663296,0.236567,4328.58
1048576,4096,0.297584,3441.05
1048576,8192,0.278984,3670.46
1048576,16384,0.281036,3643.66
1048576,32768,0.276037,3709.65
1048576,65536,0.268735,3810.45
1048576,131072,0.269028,3806.30
1048576,262144,0.269418,3800.79
1048576,524288,0.270096,3791.24
1048576,1048576,0.269519,3799.36
1048576,2097152,0.269938,3793.46
1048576,4194304,0.275008,3723.53
1048576,8388608,0.269726,3796.45
1048576,16777216,0.324471,3155.91
1048576,33554432,0.289712,3534.54
1048576,67108864,0.286649,3572.31
1048576,100663296,0.271247,3775.16
