IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,6.108980,167.62
8192,3.094536,330.91
16384,1.503087,681.26
32768,0.813088,1259.40
65536,0.496867,2060.91
131072,0.295603,3464.11
262144,0.340443,3007.85
524288,0.452158,2264.70
1048576,0.412212,2484.16
2097152,0.430841,2376.75
4194304,0.299715,3416.58
8388608,0.363422,2817.66
16777216,0.388964,2632.63
33554432,0.392949,2605.94
67108864,0.413302,2477.61
100663296,0.414222,2317.60
