IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,30.708477,33.35
8192,18.620962,54.99
16384,2.243139,456.50
32768,1.287711,795.21
65536,0.844802,1212.12
131072,0.591827,1730.24
262144,0.559844,1829.08
524288,0.625097,1638.15
1048576,0.611651,1674.16
2097152,0.556590,1839.77
4194304,0.571696,1791.16
8388608,0.573194,1786.48
16777216,0.590554,1733.97
33554432,0.595955,1718.25
67108864,0.591467,1731.29
100663296,0.583402,1645.52
