IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,5.989594,170.96
8192,2.988427,342.66
16384,1.469830,696.68
32768,0.825169,1240.96
65536,0.489310,2092.74
131072,0.285180,3590.71
262144,0.280954,3644.72
524288,0.283759,3608.70
1048576,0.289332,3539.19
2097152,0.273042,3750.34
4194304,0.279812,3659.60
8388608,0.323009,3170.19
16777216,0.364011,2813.10
33554432,0.364522,2809.16
67108864,0.361351,2833.81
100663296,0.336714,2851.08
