IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,5.691132,179.93
8192,2.817985,363.38
16384,1.413599,724.39
32768,0.814347,1257.45
65536,0.466378,2195.64
131072,0.276304,3706.06
262144,0.271265,3774.91
524288,0.270560,3784.74
1048576,0.268546,3813.13
2097152,0.268325,3816.27
4194304,0.271802,3767.45
8388608,0.321877,3181.34
16777216,0.360616,2839.59
33554432,0.357168,2867.00
67108864,0.357023,2868.16
100663296,0.339903,2824.34
