IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,6.113603,167.50
4096,8192,6.164745,166.11
4096,16384,10.017168,102.22
4096,32768,8.637023,118.56
4096,65536,7.621627,134.35
4096,131072,7.619850,134.39
4096,262144,6.958238,147.16
4096,524288,6.235420,164.22
4096,1048576,5.865035,174.59
4096,2097152,6.389091,160.27
4096,4194304,6.076862,168.51
4096,8388608,5.759397,177.80
4096,16777216,5.705436,179.48
4096,33554432,5.707412,179.42
4096,67108864,5.711377,179.29
4096,100663296,5.638084,181.62
16384,4096,5.135581,199.39
16384,8192,4.114667,248.87
16384,16384,2.390280,428.40
16384,32768,2.127427,481.33
16384,65536,1.928114,531.09
16384,131072,1.893548,540.78
16384,262144,1.731941,591.24
16384,524288,1.715480,596.92
16384,1048576,1.672736,612.17
16384,2097152,1.604781,638.09
16384,4194304,1.552414,659.62
16384,8388608,1.548663,661.22
16384,16777216,1.552354,659.64
16384,33554432,1.546281,662.23
16384,67108864,1.582572,647.05
16384,100663296,1.576946,649.36
65536,4096,1.619503,632.29
65536,8192,0.509115,2011.33
65536,16384,0.965174,1060.95
65536,32768,0.877792,1166.56
65536,65536,0.758415,1350.18
65536,131072,0.671084,1525.89
65536,262144,0.591045,1732.52
65536,524288,0.549135,1864.75
65536,1048576,0.518296,1975.71
65536,2097152,0.512118,1999.54
65536,4194304,0.482254,2123.36
65536,8388608,0.490040,2089.63
65536,16777216,0.481409,2127.09
65536,33554432,0.474514,2158.00
65536,67108864,0.473392,2163.11
65536,100663296,0.489044,2093.88
262144,4096,0.344941,2968.62
262144,8192,0.510104,2007.43
262144,16384,0.698089,1466.86
262144,32768,0.684708,1495.53
262144,65536,0.627646,1631.49
262144,131072,0.563614,1816.85
262144,262144,0.490721,2086.73
262144,524288,0.442123,2316.10
262144,1048576,0.381312,2685.46
262144,2097152,0.344180,2975.19
262144,4194304,0.328855,3113.83
262144,8388608,0.322392,3176.26
262144,16777216,0.304589,3361.91
262144,33554432,0.266403,3843.80
262144,67108864,0.248332,4123.51
262144,100663296,0.244965,4180.19
1048576,4096,0.377480,2712.73
1048576,8192,0.500990,2043.95
1048576,16384,0.718350,1425.49
1048576,32768,0.670480,1527.26
1048576,65536,0.648544,1578.92
1048576,131072,0.638266,1604.35
1048576,262144,0.636687,1608.33
1048576,524288,0.562843,1819.34
1048576,1048576,0.490126,2089.26
1048576,2097152,0.421250,2430.86
1048576,4194304,0.372329,2750.26
1048576,8388608,0.403976,2534.80
1048576,16777216,0.328264,3119.44
1048576,33554432,0.312742,3274.26
1048576,67108864,0.297459,3442.49
1048576,100663296,0.274536,3729.93
