SIZE READ,,,,,SIZE WRITE,,,,RANDOM READ,,,,RANDOM WRITE,,
IO_SIZE(Bytes),Sample Size (n),# of rounds,,,IO_SIZE(Bytes),Sample Size (n),# of rounds,,IO_SIZE(Bytes),Sample Size (n),# of rounds,,IO_SIZE(Bytes),Sample Size (n),# of rounds
262144,16777216,6436.11,1288,,262144,16777216,16495.04,3300,,,,,,,
262144,33554432,60908.14,12182,,262144,33554432,119800.02,23961,,,,,,,
262144,67108864,187446.33,37490,,262144,67108864,18415.81,3684,,,,,,,
262144,100663296,192067.78,38414,,262144,100663296,210.86,43,,,,,,,
1048576,4096,14861.2,2973,,1048576,4096,162742835.9,32548568,,,,,,,
1048576,8192,83.86,17,,1048576,8192,82592769.93,16518554,,,,,,,
1048576,16384,320.36,65,,1048576,16384,61509.91,12302,,,,,,,
1048576,32768,30570.83,6115,,1048576,32768,9937.73,1988,,,,,,,
1048576,65536,13.18,3,,1048576,65536,46603.21,9321,,,,,,,
1048576,131072,19332.59,3867,,1048576,131072,141630.09,28327,,,,,,,
1048576,262144,796.95,160,,1048576,262144,343182.72,68637,,,,,,,
1048576,524288,9966.92,1994,,1048576,524288,48486.44,9698,,,,,,,
1048576,1048576,11899.96,2380,,1048576,1048576,257590.28,51519,,,,,,,
1048576,2097152,30037.39,6008,,1048576,2097152,15608.3,3122,,,,,,,
1048576,4194304,59319.25,11864,,1048576,4194304,4522.12,905,,,,,,,
1048576,8388608,28497.33,5700,,1048576,8388608,355559.01,71112,,,,,,,
1048576,16777216,754306.15,150862,,1048576,16777216,108585.81,21718,,,,,,,
1048576,33554432,278281.38,55657,,1048576,33554432,286884.56,57377,,,,,,,
1048576,67108864,322067.58,64414,,1048576,67108864,97177.96,19436,,,,,,,
1048576,100663296,81514.03,16303,,1048576,100663296,673971.05,134795,,,,,,,
