IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,6.698012,152.88
8192,3.731142,274.45
16384,2.246677,455.78
32768,1.330500,769.64
65536,0.782715,1308.27
131072,0.568317,1801.81
262144,0.541442,1891.25
524288,0.541514,1890.99
1048576,0.541140,1892.30
2097152,0.525555,1948.42
4194304,0.533579,1919.12
8388608,0.539316,1898.70
16777216,0.558412,1833.77
33554432,0.573531,1785.43
67108864,0.564448,1814.16
100663296,0.555483,1728.23
