IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,5.753771,177.97
8192,2.835652,361.12
16384,1.459656,701.54
32768,0.826882,1238.39
65536,0.490447,2087.89
131072,0.283645,3610.15
262144,0.283223,3615.53
524288,0.277122,3695.12
1048576,0.274970,3724.04
2097152,0.272307,3760.46
4194304,0.279689,3661.21
8388608,0.318269,3217.40
16777216,0.365216,2803.82
33554432,0.363508,2816.99
67108864,0.363234,2819.12
100663296,0.341356,2812.31
