IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,5.916794,173.07
8192,3.157437,324.31
16384,1.732517,591.05
32768,1.005652,1018.24
65536,0.654761,1563.93
131072,0.379523,2698.12
262144,0.374170,2736.72
524288,0.381088,2687.04
1048576,0.373301,2743.09
2097152,0.373714,2740.06
4194304,0.383490,2670.21
8388608,0.424581,2411.79
16777216,0.453388,2258.55
33554432,0.434704,2355.63
67108864,0.461228,2220.16
100663296,0.465051,2064.29
