IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,7.341075,139.49
8192,4.946294,207.02
16384,1.984210,516.07
32768,1.108502,923.77
65536,0.862929,1186.66
131072,0.508844,2012.40
262144,0.507035,2019.58
524288,0.502266,2038.76
1048576,0.508696,2012.99
2097152,0.499364,2050.61
4194304,0.510703,2005.08
8388608,0.528574,1937.29
16777216,0.530349,1930.80
33554432,0.803667,1274.16
67108864,0.820747,1247.64
100663296,0.543769,1765.46
