IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,5.846333,175.15
4096,8192,6.016990,170.18
4096,16384,6.644405,154.11
4096,32768,7.109286,144.04
4096,65536,6.351195,161.23
4096,131072,5.941201,172.36
4096,262144,6.241857,164.05
4096,524288,5.912132,173.20
4096,1048576,5.754322,177.95
4096,2097152,5.743063,178.30
4096,4194304,5.991888,170.90
4096,8388608,6.338712,161.55
4096,16777216,5.858707,174.78
4096,33554432,6.111555,167.55
4096,67108864,5.998593,170.71
4096,100663296,6.068299,168.75
16384,4096,9.634513,106.28
16384,8192,8.107146,126.31
16384,16384,3.019201,339.16
16384,32768,2.265989,451.90
16384,65536,2.031297,504.11
16384,131072,2.234773,458.21
16384,262144,1.792775,571.18
16384,524288,1.737906,589.21
16384,1048576,1.741653,587.95
16384,2097152,1.724756,593.71
16384,4194304,1.874386,546.31
16384,8388608,1.841592,556.04
16384,16777216,1.746680,586.26
16384,33554432,1.577089,649.30
16384,67108864,1.630175,628.15
16384,100663296,1.610935,635.66
65536,4096,4.301318,238.07
65536,8192,3.866837,264.82
65536,16384,1.160161,882.64
65536,32768,1.019375,1004.54
65536,65536,0.854071,1198.96
65536,131072,0.718033,1426.12
65536,262144,0.645558,1586.22
65536,524288,0.593634,1724.97
65536,1048576,0.545322,1877.79
65536,2097152,0.548198,1867.94
65536,4194304,0.521827,1962.34
65536,8388608,0.505215,2026.86
65536,16777216,0.505739,2024.76
65536,33554432,0.516327,1983.24
65536,67108864,0.500667,2045.27
65536,100663296,0.505835,2024.38
262144,4096,2.186311,468.37
262144,8192,0.425829,2404.72
262144,16384,0.825525,1240.42
262144,32768,0.746657,1371.45
262144,65536,0.700660,1461.48
262144,131072,0.602345,1700.02
262144,262144,0.507067,2019.46
262144,524288,0.443484,2308.99
262144,1048576,0.385768,2654.45
262144,2097152,0.357051,2867.94
262144,4194304,0.347164,2949.61
262144,8388608,0.327033,3131.18
262144,16777216,0.307384,3331.34
262144,33554432,0.269116,3805.05
262144,67108864,0.248220,4125.37
262144,100663296,0.246435,4155.25
1048576,4096,0.432848,2365.73
1048576,8192,0.516671,1981.92
1048576,16384,0.748807,1367.51
1048576,32768,0.725850,1410.76
1048576,65536,0.721697,1418.88
1048576,131072,0.666536,1536.30
1048576,262144,0.597183,1714.72
1048576,524288,0.548391,1867.28
1048576,1048576,0.487497,2100.53
1048576,2097152,0.425497,2406.60
1048576,4194304,0.374208,2736.45
1048576,8388608,0.343466,2981.37
1048576,16777216,0.325607,3144.90
1048576,33554432,0.314879,3252.04
1048576,67108864,0.303520,3373.75
1048576,100663296,0.289218,3540.58
