IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,10.011985,102.28
4096,8192,11.453440,89.41
4096,16384,14.390851,71.16
4096,32768,17.641791,58.04
4096,65536,8.561543,119.60
4096,131072,6.653982,153.89
4096,262144,6.183942,165.59
4096,524288,5.987177,171.03
4096,1048576,6.637232,154.28
4096,2097152,5.710923,179.31
4096,4194304,5.754808,177.94
4096,8388608,5.768164,177.53
4096,16777216,5.766960,177.56
4096,33554432,5.782974,177.07
4096,67108864,5.765827,177.60
4096,100663296,5.776424,177.27
16384,4096,1.559055,656.81
16384,8192,1.417971,722.16
16384,16384,1.405492,728.57
16384,32768,1.400131,731.36
16384,65536,1.404967,728.84
16384,131072,1.409679,726.41
16384,262144,1.404264,729.21
16384,524288,1.402484,730.13
16384,1048576,1.514763,676.01
16384,2097152,1.496221,684.39
16384,4194304,1.449963,706.22
16384,8388608,1.429180,716.49
16384,16777216,1.421562,720.33
16384,33554432,1.408108,727.22
16384,67108864,1.411111,725.67
16384,100663296,1.407294,727.64
65536,4096,0.468371,2186.30
65536,8192,0.466067,2197.11
65536,16384,0.465580,2199.41
65536,32768,0.463548,2209.05
65536,65536,0.464290,2205.52
65536,131072,0.464762,2203.28
65536,262144,0.468075,2187.68
65536,524288,0.471936,2169.79
65536,1048576,0.474168,2159.57
65536,2097152,0.474034,2160.18
65536,4194304,0.464328,2205.34
65536,8388608,0.452126,2264.86
65536,16777216,0.436903,2343.77
65536,33554432,0.430191,2380.34
65536,67108864,0.426756,2399.50
65536,100663296,0.424347,2413.12
262144,4096,0.276599,3702.11
262144,8192,0.277954,3684.06
262144,16384,0.283216,3615.61
262144,32768,0.280677,3648.32
262144,65536,0.280059,3656.37
262144,131072,0.279914,3658.27
262144,262144,0.278681,3674.45
262144,524288,0.281512,3637.50
262144,1048576,0.280029,3656.76
262144,2097152,0.279666,3661.51
262144,4194304,0.278342,3678.93
262144,8388608,0.280315,3653.03
262144,16777216,0.266028,3849.22
262144,33554432,0.243262,4209.45
262144,67108864,0.235886,4341.08
262144,100663296,0.236116,4336.85
1048576,4096,0.277922,3684.49
1048576,8192,0.273740,3740.78
1048576,16384,0.276660,3701.29
1048576,32768,0.274951,3724.30
1048576,65536,0.271340,3773.86
1048576,131072,0.274846,3725.72
1048576,262144,0.274287,3733.32
1048576,524288,0.273854,3739.22
1048576,1048576,0.272144,3762.71
1048576,2097152,0.275655,3714.79
1048576,4194304,0.275304,3719.52
1048576,8388608,0.272749,3754.37
1048576,16777216,0.274019,3736.97
1048576,33554432,0.272850,3752.98
1048576,67108864,0.257517,3976.44
1048576,100663296,0.253469,4039.94
