IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,5.897491,173.63
8192,3.137067,326.42
16384,1.544042,663.19
32768,0.972412,1053.05
65536,0.466922,2193.09
131072,0.278957,3670.82
262144,0.287822,3557.75
524288,0.276822,3699.13
1048576,0.274438,3731.26
2097152,0.268018,3820.64
4194304,0.270499,3785.60
8388608,0.314263,3258.42
16777216,0.353834,2894.01
33554432,0.350398,2922.39
67108864,0.351599,2912.41
100663296,0.333450,2878.99
