IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,7.668168,133.54
8192,22.147745,46.23
16384,2.208634,463.63
32768,1.253611,816.84
65536,0.917056,1116.62
131072,0.915463,1118.56
262144,0.538368,1902.04
524288,0.563719,1816.51
1048576,0.537010,1906.85
2097152,0.553662,1849.50
4194304,0.577106,1774.37
8388608,0.596771,1715.90
16777216,0.650257,1574.76
33554432,0.596400,1716.97
67108864,0.637932,1605.19
100663296,0.587732,1633.40
