IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,5.182119,197.60
4096,8192,5.909803,173.27
4096,16384,7.726745,132.53
4096,32768,13.688992,74.80
4096,65536,8.712830,117.53
4096,131072,8.470425,120.89
4096,262144,7.155743,143.10
4096,524288,5.992895,170.87
4096,1048576,5.828272,175.70
4096,2097152,5.838331,175.39
4096,4194304,6.718784,152.41
4096,8388608,6.170748,165.94
4096,16777216,6.235769,164.21
4096,33554432,6.264931,163.45
4096,67108864,6.385292,160.37
4096,100663296,6.343739,161.42
16384,4096,5.482943,186.76
16384,8192,6.095023,168.01
16384,16384,2.792604,366.68
16384,32768,2.218263,461.62
16384,65536,2.032299,503.86
16384,131072,1.878945,544.99
16384,262144,1.790262,571.98
16384,524288,1.755112,583.44
16384,1048576,1.731636,591.35
16384,2097152,1.825518,560.94
16384,4194304,1.614080,634.42
16384,8388608,1.638470,624.97
16384,16777216,1.629570,628.39
16384,33554432,1.602636,638.95
16384,67108864,1.632510,627.25
16384,100663296,1.775170,576.85
65536,4096,2.279443,449.23
65536,8192,2.145886,477.19
65536,16384,1.031714,992.52
65536,32768,0.932829,1097.74
65536,65536,0.865299,1183.41
65536,131072,0.683330,1498.54
65536,262144,0.615315,1664.19
65536,524288,0.555579,1843.12
65536,1048576,0.544548,1880.46
65536,2097152,0.573220,1786.40
65536,4194304,0.497856,2056.82
65536,8388608,0.479122,2137.24
65536,16777216,0.481837,2125.20
65536,33554432,0.472509,2167.15
65536,67108864,0.472620,2166.65
65536,100663296,0.479061,2137.51
262144,4096,0.479336,2136.29
262144,8192,0.468778,2184.40
262144,16384,0.725237,1411.95
262144,32768,0.697237,1468.65
262144,65536,0.631625,1621.22
262144,131072,0.566223,1808.47
262144,262144,0.484617,2113.01
262144,524288,0.435163,2353.14
262144,1048576,0.379836,2695.90
262144,2097152,0.351015,2917.25
262144,4194304,0.347657,2945.43
262144,8388608,0.326804,3133.38
262144,16777216,0.320589,3194.12
262144,33554432,0.299663,3417.17
262144,67108864,0.263863,3880.80
262144,100663296,0.243866,4199.03
1048576,4096,0.385347,2657.35
1048576,8192,0.501889,2040.29
1048576,16384,0.689268,1485.63
1048576,32768,0.722497,1417.31
1048576,65536,0.786961,1301.21
1048576,131072,0.732461,1398.03
1048576,262144,0.661077,1548.99
1048576,524288,0.548365,1867.37
1048576,1048576,0.495006,2068.66
1048576,2097152,0.431339,2374.00
1048576,4194304,0.376394,2720.55
1048576,8388608,0.340057,3011.26
1048576,16777216,0.324472,3155.90
1048576,33554432,0.316097,3239.51
1048576,67108864,0.296499,3453.64
1048576,100663296,0.277321,3692.47
