IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,6.048702,169.29
8192,3.145967,325.50
16384,1.806837,566.74
32768,1.141987,896.68
65536,0.662926,1544.67
131072,0.480294,2132.03
262144,0.479937,2133.61
524288,0.478515,2139.95
1048576,0.475979,2151.36
2097152,0.461260,2220.01
4194304,0.463045,2211.45
8388608,0.552117,1854.68
16777216,0.990371,1033.96
33554432,0.537027,1906.79
67108864,0.504882,2028.20
100663296,0.489008,1963.16
