IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,5.797255,176.64
4096,8192,5.931977,172.62
4096,16384,5.870527,174.43
4096,32768,5.868893,174.48
4096,65536,5.879902,174.15
4096,131072,6.086715,168.24
4096,262144,5.883699,174.04
4096,524288,5.837115,175.43
4096,1048576,5.580935,183.48
4096,2097152,5.853354,174.94
4096,4194304,6.121169,167.29
4096,8388608,6.181604,165.65
4096,16777216,5.716564,179.13
4096,33554432,5.741432,178.35
4096,67108864,5.720525,179.00
4096,100663296,5.739082,178.43
16384,4096,1.759877,581.86
16384,8192,1.432947,714.61
16384,16384,1.442925,709.67
16384,32768,1.483984,690.03
16384,65536,1.430679,715.74
16384,131072,1.414189,724.09
16384,262144,1.408755,726.88
16384,524288,1.413271,724.56
16384,1048576,1.400161,731.34
16384,2097152,1.460389,701.18
16384,4194304,1.411369,725.54
16384,8388608,1.412156,725.13
16384,16777216,1.419741,721.26
16384,33554432,1.420573,720.84
16384,67108864,1.407546,727.51
16384,100663296,1.410931,725.76
65536,4096,0.586068,1747.24
65536,8192,0.449928,2275.92
65536,16384,0.457269,2239.38
65536,32768,0.469796,2179.67
65536,65536,0.464809,2203.06
65536,131072,0.462609,2213.53
65536,262144,0.465950,2197.66
65536,524288,0.469126,2182.78
65536,1048576,0.467142,2192.05
65536,2097152,0.466363,2195.71
65536,4194304,0.486965,2102.82
65536,8388608,0.478111,2141.76
65536,16777216,0.452461,2263.18
65536,33554432,0.439110,2331.99
65536,67108864,0.434686,2355.72
65536,100663296,0.445620,2297.92
262144,4096,0.568082,1802.56
262144,8192,0.245794,4166.09
262144,16384,0.275708,3714.07
262144,32768,0.289912,3532.11
262144,65536,0.289555,3536.46
262144,131072,0.275155,3721.54
262144,262144,0.284612,3597.88
262144,524288,0.294747,3474.17
262144,1048576,0.280149,3655.20
262144,2097152,0.288886,3544.65
262144,4194304,0.281017,3643.91
262144,8388608,0.278280,3679.75
262144,16777216,0.256375,3994.15
262144,33554432,0.250448,4088.67
262144,67108864,0.236622,4327.58
262144,100663296,0.235429,4349.51
1048576,4096,0.276460,3703.97
1048576,8192,0.273800,3739.96
1048576,16384,0.272708,3754.93
1048576,32768,0.271060,3777.76
1048576,65536,0.272160,3762.49
1048576,131072,0.275416,3718.01
1048576,262144,0.275219,3720.67
1048576,524288,0.273942,3738.02
1048576,1048576,0.272429,3758.78
1048576,2097152,0.274403,3731.74
1048576,4194304,0.275432,3717.80
1048576,8388608,0.272768,3754.11
1048576,16777216,0.273543,3743.47
1048576,33554432,0.273035,3750.43
1048576,67108864,0.256119,3998.14
1048576,100663296,0.249643,4101.86
