IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,5.321814,192.42
8192,2.490492,411.16
16384,1.408932,726.79
32768,0.787123,1300.94
65536,0.427428,2395.73
131072,0.261382,3917.64
262144,0.283796,3608.23
524288,0.285167,3590.88
1048576,0.320851,3191.51
2097152,0.271703,3768.82
4194304,0.299722,3416.50
8388608,0.350927,2917.99
16777216,0.369405,2772.03
33554432,0.367948,2783.00
67108864,0.367723,2784.70
100663296,0.346798,2768.18
