IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,5.347309,191.50
8192,2.528507,404.98
16384,1.250185,819.08
32768,0.678840,1508.46
65536,0.384769,2661.34
131072,0.244612,4186.22
262144,0.271370,3773.45
524288,0.266943,3836.02
1048576,0.269442,3800.45
2097152,0.261441,3916.75
4194304,0.269918,3793.74
8388608,0.322634,3173.88
16777216,0.419312,2442.10
33554432,0.371997,2752.71
67108864,0.411109,2490.82
100663296,0.360932,2659.78
