IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,6.129772,167.05
8192,2.851793,359.07
16384,1.424324,718.94
32768,0.811627,1261.66
65536,0.460568,2223.34
131072,0.277364,3691.90
262144,0.278813,3672.71
524288,0.274818,3726.10
1048576,0.274234,3734.04
2097152,0.264562,3870.55
4194304,0.271692,3768.97
8388608,0.312270,3279.21
16777216,0.374612,2733.49
33554432,0.364733,2807.53
67108864,0.473469,2162.76
100663296,0.730099,1314.89
