IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,7.884752,129.87
8192,6.525591,156.92
16384,2.324636,440.50
32768,1.352529,757.10
65536,0.831246,1231.89
131072,0.582997,1756.44
262144,0.552832,1852.28
524288,0.549346,1864.03
1048576,0.629006,1627.97
2097152,0.776106,1319.41
4194304,0.638512,1603.73
8388608,0.592258,1728.98
16777216,0.615618,1663.37
33554432,0.613378,1669.44
67108864,0.619151,1653.88
100663296,0.611969,1568.71
