IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,7.433098,137.76
4096,8192,13.678728,74.86
4096,16384,12.642953,80.99
4096,32768,8.902762,115.02
4096,65536,8.453095,121.14
4096,131072,7.589396,134.93
4096,262144,6.969161,146.93
4096,524288,6.071490,168.66
4096,1048576,5.890566,173.84
4096,2097152,6.167405,166.03
4096,4194304,5.860942,174.72
4096,8388608,5.983759,171.13
4096,16777216,5.896159,173.67
4096,33554432,5.934662,172.55
4096,67108864,6.091791,168.10
4096,100663296,5.929807,172.69
16384,4096,5.152709,198.73
16384,8192,5.189666,197.32
16384,16384,2.530623,404.64
16384,32768,2.281181,448.89
16384,65536,2.010940,509.21
16384,131072,1.924313,532.14
16384,262144,1.786700,573.12
16384,524288,1.788329,572.60
16384,1048576,1.773106,577.52
16384,2097152,1.609115,636.37
16384,4194304,1.558742,656.94
16384,8388608,1.555976,658.11
16384,16777216,1.754829,583.53
16384,33554432,1.539441,665.18
16384,67108864,1.587819,644.91
16384,100663296,1.588351,644.69
65536,4096,3.029447,338.02
65536,8192,2.685835,381.26
65536,16384,1.077148,950.66
65536,32768,0.903280,1133.65
65536,65536,0.850930,1203.39
65536,131072,0.706512,1449.37
65536,262144,0.617202,1659.10
65536,524288,0.549594,1863.19
65536,1048576,0.525321,1949.28
65536,2097152,0.506943,2019.95
65536,4194304,0.480824,2129.68
65536,8388608,0.479012,2137.73
65536,16777216,0.492427,2079.50
65536,33554432,0.492492,2079.22
65536,67108864,0.482533,2122.13
65536,100663296,0.474856,2156.44
262144,4096,1.147202,892.61
262144,8192,0.890534,1149.87
262144,16384,0.763521,1341.15
262144,32768,0.689467,1485.21
262144,65536,0.657941,1556.37
262144,131072,0.579304,1767.64
262144,262144,0.496440,2062.69
262144,524288,0.436531,2345.77
262144,1048576,0.383544,2669.84
262144,2097152,0.351711,2911.48
262144,4194304,0.326946,3132.02
262144,8388608,0.318770,3212.35
262144,16777216,0.298747,3427.65
262144,33554432,0.256868,3986.48
262144,67108864,0.241534,4239.57
262144,100663296,0.239663,4272.67
1048576,4096,0.576738,1775.50
1048576,8192,0.477795,2143.18
1048576,16384,0.681258,1503.10
1048576,32768,0.669094,1530.43
1048576,65536,0.679074,1507.94
1048576,131072,0.635496,1611.34
1048576,262144,0.593579,1725.13
1048576,524288,0.556649,1839.58
1048576,1048576,0.502026,2039.73
1048576,2097152,0.439340,2330.77
1048576,4194304,0.379141,2700.84
1048576,8388608,0.409441,2500.97
1048576,16777216,0.327214,3129.45
1048576,33554432,0.321791,3182.19
1048576,67108864,0.304910,3358.37
1048576,100663296,0.271814,3767.28
