IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,8.245316,124.19
4096,8192,10.100638,101.38
4096,16384,13.920408,73.56
4096,32768,17.383665,58.91
4096,65536,7.002864,146.23
4096,131072,6.381965,160.45
4096,262144,6.072892,168.62
4096,524288,5.873443,174.34
4096,1048576,5.778790,177.20
4096,2097152,5.814630,176.11
4096,4194304,5.759316,177.80
4096,8388608,5.732179,178.64
4096,16777216,5.739209,178.42
4096,33554432,5.742646,178.32
4096,67108864,5.727013,178.80
4096,100663296,5.755502,177.92
16384,4096,1.796451,570.01
16384,8192,1.440311,710.96
16384,16384,1.409987,726.25
16384,32768,1.401094,730.86
16384,65536,1.411031,725.71
16384,131072,1.405856,728.38
16384,262144,1.416080,723.12
16384,524288,1.399609,731.63
16384,1048576,1.410752,725.85
16384,2097152,1.402996,729.87
16384,4194304,1.416753,722.78
16384,8388608,1.410646,725.91
16384,16777216,1.405896,728.36
16384,33554432,1.406796,727.90
16384,67108864,1.410721,725.87
16384,100663296,1.411137,725.66
65536,4096,0.466942,2192.99
65536,8192,0.466693,2194.16
65536,16384,0.464342,2205.27
65536,32768,0.464798,2203.11
65536,65536,0.466368,2195.69
65536,131072,0.466143,2196.75
65536,262144,0.463719,2208.23
65536,524288,0.491399,2083.85
65536,1048576,0.468259,2186.82
65536,2097152,0.484308,2114.36
65536,4194304,0.463269,2210.38
65536,8388608,0.451422,2268.39
65536,16777216,0.426970,2398.29
65536,33554432,0.424970,2409.58
65536,67108864,0.424421,2412.70
65536,100663296,0.423617,2417.28
262144,4096,0.278023,3683.15
262144,8192,0.278547,3676.22
262144,16384,0.276996,3696.80
262144,32768,0.276603,3702.06
262144,65536,0.291331,3514.90
262144,131072,0.250950,4080.49
262144,262144,0.259932,3939.49
262144,524288,0.273019,3750.65
262144,1048576,0.276336,3705.63
262144,2097152,0.277855,3685.38
262144,4194304,0.274466,3730.88
262144,8388608,0.276481,3703.69
262144,16777216,0.254925,4016.87
262144,33554432,0.241242,4244.70
262144,67108864,0.235516,4347.90
262144,100663296,0.236875,4322.96
1048576,4096,0.249878,4098.00
1048576,8192,0.270793,3781.49
1048576,16384,0.272492,3757.91
1048576,32768,0.271028,3778.21
1048576,65536,0.271723,3768.54
1048576,131072,0.273626,3742.33
1048576,262144,0.271991,3764.83
1048576,524288,0.272135,3762.84
1048576,1048576,0.272758,3754.24
1048576,2097152,0.273006,3750.83
1048576,4194304,0.268139,3818.91
1048576,8388608,0.274985,3723.84
1048576,16777216,0.273928,3738.21
1048576,33554432,0.279349,3665.67
1048576,67108864,0.264740,3867.95
1048576,100663296,0.250273,4091.53
