IO_SIZE(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,7.751372,132.11
8192,4.339360,235.98
16384,1.818836,563.00
32768,1.094272,935.78
65536,0.757380,1352.03
131072,0.520065,1968.98
262144,0.502468,2037.94
524288,0.504709,2028.89
1048576,0.492909,2077.46
2097152,0.494508,2070.75
4194304,0.502265,2038.76
8388608,0.590147,1735.16
16777216,0.839826,1219.30
33554432,0.771576,1327.15
67108864,0.540935,1893.02
100663296,0.517554,1854.88
